district,Kode Wilayah,,,regency_code,code
Ambalawi,52,06,10,5206,520610
Ambarawa,18,10,03,1810,181003
Ambarawa,33,22,10,3322,332210
Ambatkwi (Ambatkui),93,02,11,9302,930211
Amberbaken,92,09,10,9209,920910
Amberbaken Barat,92,09,27,9209,920927
Ambulu,35,09,12,3509,350912
Ambunten,35,29,12,3529,352912
Amen,17,07,10,1707,170710
Amfoang Barat Daya,53,01,21,5301,530121
Amfoang Barat Laut,53,01,22,5301,530122
Amfoang Selatan,53,01,12,5301,530112
Amfoang Tengah,53,01,30,5301,530130
Amfoang Timur,53,01,26,5301,530126
Amfoang Utara,53,01,13,5301,530113
Amonggedo,74,02,28,7402,740228
Ampana Kota,72,09,05,7209,720905
Ampana Tete,72,09,04,7209,720904
Ampek Angkek (IV Angkat Candung),13,06,07,1306,130607
Ampek Nagari (IV Nagari ),13,06,13,1306,130613
Ampel,33,09,02,3309,330902
Ampelgading,33,27,11,3327,332711
Ampelgading,35,07,06,3507,350706
Ampenan,52,71,01,5271,527101
Ampibabo,72,08,02,7208,720802
Amuma,95,03,11,9503,950311
Amungkalpia,94,05,23,9405,940523
Amuntai Selatan,63,08,04,6308,630804
Amuntai Tengah,63,08,05,6308,630805
Amuntai Utara,63,08,06,6308,630806
Amurang,71,05,10,7105,710510
Amurang Barat,71,05,17,7105,710517
Amurang Timur,71,05,18,7105,710518
Anak Ratu Aji,18,02,27,1802,180227
Anak Tuha,18,02,21,1802,180221
Anawi,95,04,36,9504,950436
Andam Dewi,12,01,12,1201,120112
Andey,91,06,14,9106,910614
Andir,32,73,05,3273,327305
Andong,33,09,16,3309,330916
Andoolo,74,05,03,7405,740503
Andoolo Barat,74,05,25,7405,740525
Andowia,74,09,09,7409,740909
Angata,74,05,02,7405,740502
Anggaberi,74,02,24,7402,740224
Anggalomoare,74,02,40,7402,740240
Anggana,64,02,04,6402,640204
Anggeraja,73,16,04,7316,731604
Anggi,92,12,01,9212,921201
Anggi Gida,92,12,02,9212,921202
Anggrek,75,05,03,7505,750503
Anggruk,95,03,02,9503,950302
Angkaisera,91,05,04,9105,910504
Angkinang,63,06,04,6306,630604
Angkola Barat,12,03,01,1203,120301
Angkola Muara Tais,12,03,32,1203,120332
Angkola Sangkunur,12,03,31,1203,120331
Angkola Selatan,12,03,06,1203,120306
Angkola Timur,12,03,03,1203,120303
Angkona,73,24,05,7324,732405
Angsana,63,10,09,6310,631009
Angsana,36,01,07,3601,360107
