district,Kode Wilayah,,,regency_code,code
Grobogan,33,15,12,3315,331512
Grogol,33,11,09,3311,331109
Grogol,35,06,13,3506,350613
Grogol Petamburan,31,73,02,3173,317302
Grong Grong,11,07,25,1107,110725
Grujugan,35,11,06,3511,351106
Gu,74,14,06,7414,741406
Gubeng,35,78,08,3578,357808
Gubug,33,15,17,3315,331517
Gubume,94,02,23,9402,940223
Gucialit,35,08,13,3508,350813
Gudo,35,17,02,3517,351702
Guguak (Gugu),13,07,02,1307,130702
Guguak Panjang (Guguk Panjang),13,75,01,1375,137501
Guluk-Guluk (Guluk Guluk),35,29,09,3529,352909
Gumay Talang,16,04,21,1604,160421
Gumay Ulu,16,04,25,1604,160425
Gumbasa,72,10,08,7210,721008
Gumelar,33,02,15,3302,330215
Gumukmas (Gumuk Mas),35,09,04,3509,350904
Guna,95,07,34,9507,950734
Gundagi,95,04,20,9504,950420
Gunem,33,17,03,3317,331703
Guntur,33,21,03,3321,332103
Gunuang Omeh (Gunung Mas),13,07,08,1307,130708
Gunung Agung,18,12,05,1812,181205
Gunung Alip,18,06,21,1806,180621
Gunung Anyar (Gununganyar),35,78,25,3578,357825
Gunung Jati (Cirebon Utara),32,09,21,3209,320921
Gunung Kaler,36,03,32,3603,360332
Gunung Kerinci,15,01,06,1501,150106
Gunung Kijang,21,01,04,2101,210104
Gunung Labuhan,18,08,10,1808,180810
Gunung Malela,12,08,02,1208,120802
Gunung Maligas,12,08,03,1208,120803
Gunung Megang,16,03,04,1603,160304
Gunung Meriah,12,07,01,1207,120701
Gunung Meriah (Mariah),11,10,06,1110,111006
Gunung Pelindung,18,07,18,1807,180718
Gunung Purei,62,05,03,6205,620503
Gunung Putri,32,01,02,3201,320102
Gunung Puyuh (Gunungpuyuh),32,72,01,3272,327201
Gunung Raya,15,01,01,1501,150101
Gunung Sahilan,14,01,20,1401,140120
Gunung Sindur,32,01,11,3201,320111
Gunung Sitember,12,11,12,1211,121112
Gunung Sugih,18,02,04,1802,180204
Gunung Tabur,64,03,06,6403,640306
Gunung Talang,13,02,07,1302,130207
Gunung Terang,18,12,04,1812,181204
Gunung Timang,62,05,02,6205,620502
Gunung Tujuh,15,01,15,1501,150115
Gunung Tuleh (Gunungtuleh),13,12,06,1312,131206
Gunungguruh,32,02,27,3202,320227
Gununghalu,32,17,15,3217,321715
Gunungkencana (Gunung Kencana),36,02,08,3602,360208
Gunungpati,33,74,12,3374,337412
Gunungsari,52,01,09,5201,520109
Gunungsari (Gunung Sari),36,04,33,3604,360433
Gunungsitoli,12,78,01,1278,127801
Gunungsitoli Alo'oa,12,78,05,1278,127805
Gunungsitoli Barat,12,78,06,1278,127806
Gunungsitoli Idanoi,12,78,04,1278,127804
Gunungsitoli Selatan,12,78,02,1278,127802
Gunungsitoli Utara,12,78,03,1278,127803
Gunungtanjung (Gunung Tanjung),32,06,23,3206,320623
Gunungtoar (Gunung Toar),14,09,07,1409,140907
Gunungwungkal,33,18,17,3318,331817
Gupura,95,07,27,9507,950727
Gurage,94,02,10,9402,940210
Gurah,35,06,10,3506,350610
Habinsaran,12,12,04,1212,121204
Haharu,53,11,02,5311,531102
Haju,93,03,05,9303,930305
Halong,63,11,02,6311,631102
Halongonan,12,20,03,1220,122003
Halongonan Timur,12,20,11,1220,122011
Hampang,63,02,14,6302,630214
Hamparan Perak,12,07,24,1207,120724
Hamparan Rawang,15,72,03,1572,157203
Hanau,62,07,04,6207,620704
Hantakan,63,07,09,6307,630709
Hantara,32,08,26,3208,320826
Haranggaol Horisan (Haranggaol Horison),12,08,15,1208,120815
Harau,13,07,05,1307,130705
Harian,12,17,05,1217,121705
Harjamukti,32,74,03,3274,327403
Haruai,63,09,05,6309,630905
Haruyan,63,07,01,6307,630701
Hatonduhan,12,08,12,1208,120812
Hatungun,63,05,12,6305,630512
Haur Gading,63,08,08,6308,630808
Haurgeulis,32,12,01,3212,321201
Haurwangi,32,03,31,3203,320331
Hawu Mehara,53,20,05,5320,532005
Helumo,71,11,06,7111,711106
Heram,91,71,05,9171,917105
Hereapini,95,03,27,9503,950327
Herlang (Hero Lange Lange),73,02,05,7302,730205
Hewokloang,53,07,18,5307,530718
Hibala,12,14,04,1214,121404
Hiliduho,12,04,05,1204,120405
Hilimegai,12,14,11,1214,121411
Hilipuk,95,03,47,9503,950347
Hiliran Gumanti,13,02,17,1302,130217
Hilisalawa'ahe (Hilisalawaahe),12,14,23,1214,121423
Hiliserangkai (Hili Serangkai / Hilisaranggu),12,04,20,1204,120420
Hinai,12,05,10,1205,120510
Hingk,92,12,10,9212,921210
Hitadipa,94,07,06,9407,940706
Hoat Sorbay,81,02,16,8102,810216
Hobard,92,01,52,9201,920152
Hogio,95,03,14,9503,950314
Holuwon,95,03,34,9503,950334
Homeyo,94,07,02,9407,940702
Hoya,94,04,14,9404,940414
Hu'u,52,05,03,5205,520503
Huamual,81,06,08,8106,810608
Huamual Belakang,81,06,04,8106,810604
Hubikiak,95,01,16,9501,950116
Hubikosi,95,01,04,9501,950104
Hulonthalangi,75,71,09,7571,757109
Hulu Gurung,61,06,08,6106,610608
Hulu Kuantan,14,09,12,1409,140912
Hulu Palik,17,03,19,1703,170319
Hulu Sihapas,12,20,09,1220,122009
Hulu Sungai,61,04,19,6104,610419
Hulu Sungkai,18,03,17,1803,180317
Huristak,12,21,03,1221,122103
Huruna,12,14,20,1214,121420
Huta Bargot,12,13,19,1213,121319
Huta Bayu Raja,12,08,18,1208,120818
Hutaraja Tinggi (Huta Raja Tinggi),12,21,05,1221,122105
Ibele,95,01,17,9501,950117
Ibu,82,01,03,8201,820103
Ibu Selatan,82,01,08,8201,820108
Ibu Utara,82,01,07,8201,820107
Ibun,32,04,36,3204,320436
Idanogawo (Idano Gawo),12,04,10,1204,120410
Idanotae,12,14,35,1214,121435
Idi Rayeuk,11,03,03,1103,110303
Idi Timur,11,03,23,1103,110323
Idi Tunong,11,03,14,1103,110314
Ilaga,94,05,01,9405,940501
Ilaga Utara,94,05,18,9405,940518
Ilamburawi,94,02,13,9402,940213
Ile Ape,53,13,03,5313,531303
Ile Ape Timur,53,13,09,5313,531309
Ile Boleng,53,06,13,5306,530613
Ile Bura,53,06,16,5306,530616
Ile Mandiri,53,06,04,5306,530604
Ilir Barat Dua (Ilir Barat II),16,71,01,1671,167101
Ilir Barat Satu (Ilir Barat I),16,71,04,1671,167104
Ilir Talo,17,05,14,1705,170514
Ilir Timur Dua (Ilir Timur II),16,71,06,1671,167106
Ilir Timur Satu (Ilir Timur I),16,71,05,1671,167105
Ilir Timur Tiga,16,71,18,1671,167118
Ilu,94,02,02,9402,940202
Ilugwa,95,05,05,9505,950505
Ilwayab (Ilyawab),93,01,20,9301,930120
Imogiri,34,02,10,3402,340210
Inamosol,81,06,06,8106,810606
Inanwatan,92,04,04,9204,920404
Indihiang,32,78,04,3278,327804
Indra Jaya,11,14,07,1114,111407
Indra Makmu (Indra Makmur),11,03,13,1103,110313
Indrajaya (Indra Jaya),11,07,07,1107,110707
Indralaya,16,10,04,1610,161004
Indralaya Selatan,16,10,08,1610,161008
Indralaya Utara,16,10,07,1610,161007
Indramayu,32,12,15,3212,321215
Indrapuri,11,06,03,1106,110603
Inerie,53,09,20,5309,530920
Inggerus,91,15,09,9115,911509
Ingin Jaya,11,06,10,1106,110610
Inikgal,95,08,20,9508,950820
Iniyandit,93,02,08,9302,930208
Iniye,95,08,21,9508,950821
Insana,53,03,08,5303,530308
Insana Barat,53,03,20,5303,530320
Insana Fafinesu,53,03,19,5303,530319
Insana Tengah,53,03,21,5303,530321
Insana Utara,53,03,09,5303,530309
Inuman,14,09,11,1409,140911
Io Kufeu,53,21,06,5321,532106
Ipuh (Muko Muko Selatan),17,06,05,1706,170605
Ireres,92,09,17,9209,920917
Irimuli,94,02,11,9402,940211
Itlay Hisage,95,01,19,9501,950119
IV Jurai,13,01,05,1301,130105
IV Koto (Ampek Koto),13,06,05,1306,130605
IV Koto Aur Malintang,13,05,09,1305,130509
IV Nagari,13,03,05,1303,130305
IV Nagari Bayang Utara,13,01,12,1301,130112
Iwaka,94,04,15,9404,940415
Iwoimendaa,74,01,27,7401,740127
Iwur,95,02,04,9502,950204
IX Koto Sungai Lasi,13,02,09,1302,130209
Jabiren Raya,62,11,07,6211,621107
Jabon,35,15,05,3515,351505
Jabung,35,07,17,3507,350717
Jabung,18,07,03,1807,180703
Jagakarsa,31,74,09,3174,317409
Jagebob,93,01,07,9301,930107
Jagoi Babang,61,07,07,6107,610707
Jagong Jeget,11,04,19,1104,110419
Jailolo,82,01,01,8201,820101
Jailolo Selatan,82,01,05,8201,820105
Jair,93,02,05,9302,930205
Jakabaring,16,71,17,1671,167117
Jaken,33,18,06,3318,331806
Jakenan,33,18,09,3318,331809
Jalaksana,32,08,12,3208,320812
Jalancagak,32,13,12,3213,321312
Jamanis,32,06,35,3206,320635
Jambangan,35,78,23,3578,357823
Jambe,36,03,04,3603,360304
Jambesari Darus Sholah,35,11,23,3511,351123
Jambi Luar Kota,15,05,01,1505,150501
Jambi Selatan,15,71,02,1571,157102
Jambi Timur,15,71,03,1571,157103
Jamblang,32,09,40,3209,320940
Jambon,35,02,20,3502,350220
Jambu,33,22,08,3322,332208
Jampangkulon (Jampang Kulon),32,02,21,3202,320221
Jampangtengah (Jampang Tengah),32,02,08,3202,320208
Janapria,52,02,07,5202,520207
Jangka,11,11,10,1111,111110
Jangka Buya (Jangka Buaya),11,18,03,1118,111803
Jangkang,61,03,04,6103,610304
Jangkar,35,12,12,3512,351212
Jangkat,15,02,01,1502,150201
Jangkat Timur (Sungai Tenang),15,02,18,1502,150218
Japah,33,16,16,3316,331616
Japara,32,08,23,3208,320823
Jarai,16,04,06,1604,160406
Jaro,63,09,11,6309,630911
Jasinga,32,01,19,3201,320119
Jaten,33,13,11,3313,331311
Jati,33,16,01,3316,331601
Jati,33,19,03,3319,331903
Jati Agung,18,01,13,1801,180113
Jatiasih,32,75,09,3275,327509
Jatibanteng,35,12,01,3512,351201
Jatibarang,32,12,13,3212,321213
Jatibarang,33,29,07,3329,332907
Jatigede,32,11,26,3211,321126
Jatikalen,35,18,20,3518,351820
Jatilawang,33,02,03,3302,330203
Jatiluhur,32,14,03,3214,321403
Jatinagara,32,07,12,3207,320712
Jatinangor,32,11,15,3211,321115
Jatinegara,31,75,03,3175,317503
Jatinegara,33,28,07,3328,332807
Jatinom,33,10,20,3310,331020
Jatinunggal,32,11,02,3211,321102
Jatipurno,33,12,21,3312,331221
Jatipuro,33,13,01,3313,331301
Jatirejo,35,16,01,3516,351601
Jatirogo,35,23,02,3523,352302
Jatiroto,35,08,17,3508,350817
Jatiroto,33,12,15,3312,331215
Jatisampurna (Jati Sampurna),32,75,10,3275,327510
Jatisari,32,15,14,3215,321514
Jatisrono,33,12,20,3312,331220
Jatitujuh,32,10,15,3210,321015
Jatiuwung,36,71,02,3671,367102
Jatiwangi,32,10,11,3210,321011
Jatiwaras,32,06,19,3206,320619
Jatiyoso,33,13,02,3313,331302
Jawa Maraja Bah Jambi,12,08,19,1208,120819
Jawai,61,01,03,6101,610103
Jawai Selatan,61,01,16,6101,610116
Jawilan,36,04,26,3604,360426
Jaya,11,14,05,1114,111405
Jaya Baru,11,71,08,1171,117108
Jayakerta,32,15,22,3215,321522
Jayaloka (Jaya Loka),16,05,08,1605,160508
Jayanti,36,03,02,3603,360302
Jayapura,16,08,16,1608,160816
Jayapura Selatan,91,71,02,9171,917102
Jayapura Utara,91,71,01,9171,917101
Jebres,33,72,04,3372,337204
Jebus,19,05,03,1905,190503
Jejangkit,63,04,17,6304,630417
Jejawi,16,02,17,1602,160217
Jekan Raya,62,71,03,6271,627103
Jekulo,33,19,06,3319,331906
Jelai,62,08,02,6208,620802
Jelai Hulu,61,04,14,6104,610414
Jelbuk,35,09,25,3509,350925
Jelimpo,61,08,11,6108,610811
Jelutung,15,71,08,1571,157108
Jemaja,21,05,06,2105,210506
Jemaja Barat,21,05,09,2105,210509
Jemaja Timur,21,05,05,2105,210505
Jembrana,51,01,05,5101,510105
Jempang,64,07,11,6407,640711
Jenamas,62,04,01,6204,620401
Jenangan,35,02,18,3502,350218
Jenar,33,14,20,3314,331420
Jenawi,33,13,17,3313,331317
Jenggawah,35,09,16,3509,350916
Jenu,35,23,12,3523,352312
Jepara,33,20,06,3320,332006
Jepon,33,16,08,3316,331608
Jerebuu,53,09,12,5309,530912
Jereweh,52,07,01,5207,520701
Jerowaru,52,03,20,5203,520320
Jeruklegi,33,01,08,3301,330108
Jetfa,95,02,30,9502,950230
Jetis,35,16,16,3516,351616
Jetis,35,02,09,3502,350209
Jetis,34,02,09,3402,340209
Jetis,34,71,02,3471,347102
Jetsy,93,04,13,9304,930413
Jeumpa,11,12,08,1112,111208
Jeumpa,11,11,04,1111,111104
Jeunieb,11,11,02,1111,111102
Jiken,33,16,07,3316,331607
Jila,94,04,06,9404,940406
Jiput,36,01,16,3601,360116
Jirak Jaya,16,06,15,1606,160615
Jita,94,04,05,9404,940405
Jiwan,35,19,09,3519,351909
Joerat,93,04,11,9304,930411
Jogonalan,33,10,08,3310,331008
Jogorogo,35,21,03,3521,352103
Jogoroto,35,17,19,3517,351719
Johan Pahwalan (Johan Pahlawan),11,05,01,1105,110501
Johar Baru,31,71,08,3171,317108
Jombang,36,72,05,3672,367205
Jombang,35,09,01,3509,350901
Jombang,35,17,09,3517,351709
Jonggat,52,02,02,5202,520202
Jonggol,32,01,06,3201,320106
Jongkat (Siantan),61,02,08,6102,610208
Jongkong (Jengkong),61,06,07,6106,610607
Jorlang Hataran,12,08,06,1208,120806
Jorong,63,01,02,6301,630102
Joutu,93,04,20,9304,930420
Jrengik,35,27,07,3527,352707
Juai,63,11,01,6311,631101
Juhar,12,06,07,1206,120607
Jujuhan,15,08,04,1508,150804
Jujuhan Ilir,15,08,16,1508,150816
Juli,11,11,09,1111,111109
Julok,11,03,02,1103,110302
Jumantono,33,13,04,3313,331304
Jumapolo,33,13,03,3313,331303
Jumo,33,23,10,3323,332310
Junjung Sirih,13,02,13,1302,130213
Junrejo,35,79,03,3579,357903
Juntinyuat,32,12,11,3212,321211
Juwana,33,18,08,3318,331808
Juwangi,33,09,19,3309,330919
Juwiring,33,10,14,3310,331014
Kabaena,74,06,05,7406,740605
Kabaena Barat,74,06,14,7406,740614
Kabaena Selatan,74,06,13,7406,740613
Kabaena Tengah,74,06,16,7406,740616
Kabaena Timur,74,06,06,7406,740606
Kabaena Utara,74,06,15,7406,740615
Kabandungan,32,02,19,3202,320219
Kabangka,74,03,23,7403,740323
Kabanjahe,12,06,01,1206,120601
Kabaruan,71,04,06,7104,710406
Kabat,35,10,14,3510,351014
Kabawo,74,03,24,7403,740324
Kabianggama,95,03,44,9503,950344
Kabila,75,03,02,7503,750302
Kabila Bone,75,03,08,7503,750308
Kabola,53,05,10,5305,530510
Kabuh,35,17,16,3517,351716
Kabun,14,06,12,1406,140612
Kadatua,74,15,07,7415,741507
Kademangan,35,05,04,3505,350504
Kademangan,35,74,01,3574,357401
Kadia,74,71,08,7471,747108
Kadipaten,32,10,13,3210,321013
Kadipaten,32,06,37,3206,320637
Kadudampit,32,02,30,3202,320230
Kadugede,32,08,01,3208,320801
Kaduhejo,36,01,19,3601,360119
Kadungora,32,05,10,3205,320510
Kadupandak,32,03,17,3203,320317
Kadur,35,28,12,3528,352812
Kahaungu Eti (Kahaunguweti),53,11,14,5311,531114
Kahayan Hilir,62,11,05,6211,621105
Kahayan Hulu Utara,62,10,04,6210,621004
Kahayan Kuala,62,11,02,6211,621102
Kahayan Tengah,62,11,03,6211,621103
Kahu,73,08,02,7308,730802
Kai,95,04,41,9504,950441
Kaibar,93,03,07,9303,930307
Kaidipang,71,08,05,7108,710805
Kaimana,92,08,01,9208,920801
Kairatu,81,06,01,8106,810601
Kairatu Barat,81,06,07,8106,810607
Kais,92,04,14,9204,920414
Kais Darat,92,04,26,9204,920426
Kaisenar,91,11,11,9111,911111
Kaitaro,92,06,15,9206,920615
Kajang,73,02,06,7302,730206
Kajen,33,26,08,3326,332608
Kajoran,33,08,12,3308,330812
Kajuara,73,08,03,7308,730803
Kakas,71,02,06,7102,710206
Kakas Barat,71,02,20,7102,710220
Kakuluk Mesak,53,04,05,5304,530405
Kalaena,73,24,10,7324,732410
Kalanganyar,36,02,24,3602,360224
Kalapanunggal (Kalapa Nunggal),32,02,18,3202,320218
Kalasan,34,04,10,3404,340410
Kalawat,71,06,08,7106,710608
Kaledupa,74,07,02,7407,740702
Kaledupa Selatan,74,07,06,7407,740706
Kalianda,18,01,06,1801,180106
Kalianget,35,29,02,3529,352902
Kaliangkrik,33,08,13,3308,330813
Kalibagor,33,02,10,3302,330210
Kalibaru,35,10,11,3510,351011
Kalibawang,34,01,12,3401,340112
Kalibawang,33,07,15,3307,330715
Kalibening,33,04,18,3304,330418
Kalibunder,32,02,23,3202,320223
Kalidawir,35,04,14,3504,350414
Kalideres,31,73,06,3173,317306
Kalidoni,16,71,10,1671,167110
Kaligesing,33,06,05,3306,330605
Kaligondang,33,03,04,3303,330304
Kalijambe,33,14,01,3314,331401
Kalijati,32,13,04,3213,321304
Kalikajar,33,07,07,3307,330707
Kalikotes,33,10,23,3310,331023
Kalimanah,33,03,06,3303,330306
Kalimanggis,32,08,27,3208,320827
Kalinyamatan,33,20,13,3320,332013
Kaliorang,64,08,10,6408,640810
Kaliori,33,17,09,3317,331709
Kalipare,35,07,11,3507,350711
Kalipucang,32,18,08,3218,321808
Kalipuro,35,10,21,3510,351021
Kalirejo,18,02,01,1802,180201
Kalis,61,06,18,6106,610618
Kalisat,35,09,27,3509,350927
Kalitengah,35,24,20,3524,352420
Kalitidu,35,22,16,3522,352216
Kaliwates,35,09,19,3509,350919
Kaliwedi,32,09,29,3209,320929
Kaliwiro,33,07,04,3307,330704
Kaliwungu,33,24,08,3324,332408
Kaliwungu,33,19,01,3319,331901
Kaliwungu,33,22,17,3322,332217
Kaliwungu Selatan,33,24,20,3324,332420
Kalomdol,95,02,13,9502,950213
Kalome,94,02,18,9402,940218
Kalongan,71,04,12,7104,710412
Kaloran,33,23,05,3323,332305
Kalukku,76,02,03,7602,760203
Kalumpang,76,02,04,7602,760204
Kalumpang (Kelumpang),63,06,09,6306,630609
Kamal,35,26,04,3526,352604
Kamang Baru,13,03,06,1303,130306
Kamang Magek,13,06,15,1306,130615
Kamanre,73,17,13,7317,731713
Kambata Mapambuhang,53,11,17,5311,531117
Kambera,53,11,16,5311,531116
Kamboneri,95,04,27,9504,950427
Kambowa,74,10,02,7410,741002
Kambrau (Kambraw / Kamberau),92,08,05,9208,920805
Kambu,74,71,10,7471,747110
Kamipang,62,06,01,6206,620601
Kampa (Kampar Timur),14,01,17,1401,140117
Kampak,35,03,07,3503,350307
Kampar,14,01,02,1401,140102
Kampar Kiri,14,01,07,1401,140107
Kampar Kiri Hilir,14,01,08,1401,140108
Kampar Kiri Hulu,14,01,09,1401,140109
Kampar Kiri Tengah,14,01,19,1401,140119
Kampar Utara,14,01,18,1401,140118
Kampung Laut,33,01,24,3301,330124
Kampung Melayu,17,71,05,1771,177105
Kampung Rakyat,12,22,02,1222,122202
Kamu,94,06,01,9406,940601
Kamu Selatan,94,06,07,9406,940607
Kamu Timur,94,06,08,9406,940608
Kamu Utara,94,06,04,9406,940604
Kamundan,92,06,20,9206,920620
Kanatang,53,11,20,5311,531120
Kandangan,63,06,05,6306,630605
Kandangan,33,23,06,3323,332306
Kandangan,35,06,19,3506,350619
Kandanghaur,32,12,21,3212,321221
Kandangserang,33,26,01,3326,332601
Kandat,35,06,05,3506,350605
Kandeman,33,25,13,3325,332513
Kandis,14,08,10,1408,140810
Kandis,16,10,13,1610,161013
Kangae,53,07,19,5307,530719
Kangayan,35,29,27,3529,352927
Kanggime,95,04,03,9504,950403
Kangkung,33,24,17,3324,332417
Kanigaran,35,74,04,3574,357404
Kanigoro,35,05,10,3505,350510
Kanor,35,22,11,3522,352211
Kao,82,03,07,8203,820307
Kao Barat,82,03,21,8203,820321
Kao Teluk,82,03,22,8203,820322
Kao Utara,82,03,20,8203,820320
Kapala Pitu (Kapalla Pitu),73,26,20,7326,732620
Kapas,35,22,14,3522,352214
Kapetakan,32,09,22,3209,320922
Kapiraya,94,08,05,9408,940805
Kapoiala,74,02,33,7402,740233
Kapongan,35,12,10,3512,351210
Kapontori,74,04,22,7404,740422
Kaptel,93,01,17,9301,930117
Kapuas (Sanggau Kapuas),61,03,01,6103,610301
Kapuas Barat,62,03,05,6203,620305
Kapuas Hilir,62,03,02,6203,620302
Kapuas Hulu,62,03,12,6203,620312
Kapuas Kuala,62,03,04,6203,620304
Kapuas Murung,62,03,07,6203,620307
Kapuas Tengah,62,03,11,6203,620311
Kapuas Timur,62,03,03,6203,620303
Kapur IX/Sembilan,13,07,07,1307,130707
Karamat,72,05,10,7205,720510
Karang Agung Ilir,16,07,20,1607,160720
Karang Bahagia (Karangbahagia),32,16,10,3216,321610
Karang Baru,11,16,03,1116,111603
Karang Bintang,63,10,07,6310,631007
Karang Dapo,16,13,05,1613,161305
Karang Intan,63,03,06,6303,630306
Karang Jaya,16,13,06,1613,161306
Karang Kancana (Karangkancana),32,08,29,3208,320829
Karang Pilang (Karangpilang),35,78,01,3578,357801
Karang Tanjung,36,01,25,3601,360125
Karang Tengah,36,71,12,3671,367112
Karang Tinggi,17,09,01,1709,170901
Karangampel,32,12,10,3212,321210
Karangan,35,03,06,3503,350306
Karangan,64,08,16,6408,640816
Karanganom,33,10,18,3310,331018
Karanganyar,33,21,09,3321,332109
Karanganyar,33,13,09,3313,331309
Karanganyar,33,05,20,3305,330520
Karanganyar,33,26,07,3326,332607
Karanganyar,33,03,11,3303,330311
Karanganyar,35,21,17,3521,352117
Karangasem (Karang Asem),51,07,04,5107,510704
Karangawen,33,21,02,3321,332102
Karangbinangun,35,24,24,3524,352424
Karangdadap,33,26,18,3326,332618
Karangdowo,33,10,13,3310,331013
Karanggayam,33,05,21,3305,330521
Karanggede,33,09,14,3309,330914
Karanggeneng (Karang Geneng),35,24,18,3524,352418
Karangjambu,33,03,17,3303,330317
Karangjati,35,21,07,3521,352107
Karangjaya (Karang Jaya),32,06,21,3206,320621
Karangkobar,33,04,13,3304,330413
Karanglewas,33,02,18,3302,330218
Karangmalang,33,14,09,3314,331409
Karangmojo,34,03,09,3403,340309
Karangmoncol,33,03,12,3303,330312
Karangnongko,33,10,10,3310,331010
Karangnunggal,32,06,02,3206,320602
Karangpandan,33,13,08,3313,331308
Karangpawitan,32,05,02,3205,320502
Karangpenang (Karang Penang),35,27,14,3527,352714
Karangploso (Karang Ploso),35,07,23,3507,350723
Karangpucung,33,01,12,3301,330112
Karangrayung,33,15,02,3315,331502
Karangreja,33,03,10,3303,330310
Karangrejo,35,20,13,3520,352013
Karangrejo (Karang Rejo),35,04,08,3504,350408
Karangsambung,33,05,26,3305,330526
Karangsembung,32,09,06,3209,320906
Karangtengah,32,03,07,3203,320307
Karangtengah,32,05,16,3205,320516
Karangtengah,33,12,23,3312,331223
Karangtengah (Karang Tengah),33,21,05,3321,332105
Karangwareng,32,09,34,3209,320934
Karas,35,20,14,3520,352014
Karas,92,03,06,9203,920306
Karau Kuala,62,04,03,6204,620403
Karawaci,36,71,07,3671,367107
Karawang Barat,32,15,01,3215,321501
Karawang Timur,32,15,26,3215,321526
Kare,35,19,05,3519,351905
Karera,53,11,13,5311,531113
Karimun,21,02,03,2102,210203
Karimunjawa (Karimun Jawa),33,20,10,3320,332010
Karossa,76,06,05,7606,760605
Kartasura,33,11,12,3311,331112
Kartoharjo,35,77,01,3577,357701
Kartoharjo (Kertoharjo),35,20,15,3520,352015
Karu,95,07,32,9507,950732
Karubaga,95,04,01,9504,950401
Karusen Janang,62,13,10,6213,621310
Karya Penggawa,18,13,05,1813,181305
Kasembon,35,07,28,3507,350728
Kasemen,36,73,02,3673,367302
Kasi,92,09,28,9209,920928
Kasihan,34,02,16,3402,340216
Kasiman,35,22,20,3522,352220
Kasimbar,72,08,08,7208,720808
Kasiruta Barat,82,04,15,8204,820415
Kasiruta Timur,82,04,16,8204,820416
Kasokandel,32,10,24,3210,321024
Kasomalang,32,13,26,3213,321326
Kasreman,35,21,19,3521,352119
Kasui,18,08,02,1808,180802
Katala Hamu Lingu,53,11,19,5311,531119
Katang Bidare,21,04,11,2104,210411
Katapang,32,04,11,3204,320411
Kateman,14,04,08,1404,140408
Katibung,18,01,08,1801,180108
Katiku Tana,53,17,01,5317,531701
Katiku Tana Selatan (Katikutana Selatan),53,17,05,5317,531705
Katingan Hilir,62,06,02,6206,620602
Katingan Hulu,62,06,08,6206,620608
Katingan Kuala,62,06,10,6206,620610
Katingan Tengah,62,06,05,6206,620605
Katobu,74,03,16,7403,740316
Katoi,74,08,13,7408,740813
Kaubun,64,08,15,6408,640815
Kauditan,71,06,02,7106,710602
Kauman,35,02,12,3502,350212
Kauman,35,04,05,3504,350405
Kaur Selatan,17,04,05,1704,170405
Kaur Tengah,17,04,04,1704,170404
Kaur Utara,17,04,03,1704,170403
Kaureh,91,03,11,9103,910311
Kawagit,93,02,20,9302,930220
Kawali,32,07,09,3207,320709
Kawalu,32,78,05,3278,327805
Kawangkoan,71,02,12,7102,710212
Kawangkoan Barat,71,02,22,7102,710222
Kawangkoan Utara,71,02,21,7102,710221
Kaway XVI,11,05,02,1105,110502
Kawedanan,35,20,05,3520,352005
Kawor,95,02,17,9502,950217
Kawunganten,33,01,09,3301,330109
Kayan Hilir,61,05,08,6105,610508
Kayan Hilir,65,02,04,6502,650204
Kayan Hulu,61,05,09,6105,610509
Kayan Hulu,65,02,05,6502,650205
Kayan Selatan,65,02,10,6502,650210
Kayangan,52,08,03,5208,520803
Kayauni,92,03,15,9203,920315
Kayen,33,18,02,3318,331802
Kayen Kidul,35,06,24,3506,350624
Kayo,95,03,50,9503,950350
Kayoa,82,04,02,8204,820402
Kayoa Barat,82,04,11,8204,820411
Kayoa Selatan,82,04,12,8204,820412
Kayoa Utara,82,04,13,8204,820413
Kayu Agung,16,02,05,1602,160205
Kayu Aro,15,01,09,1501,150109
Kayu Aro Barat,15,01,19,1501,150119
Kebakkramat,33,13,14,3313,331314
Kebar,92,09,09,9209,920909
Kebar Selatan,92,09,24,9209,920924
Kebar Timur,92,09,23,9209,920923
Kebasen,33,02,05,3302,330205
Kebawetan,17,08,06,1708,170806
Kebayakan,11,04,11,1104,110411
Kebayoran Baru,31,74,07,3174,317407
Kebayoran Lama,31,74,05,3174,317405
Kebo,94,03,08,9403,940308
Kebomas,35,25,14,3525,352514
Kebon Jeruk,31,73,05,3173,317305
Kebonagung,33,21,14,3321,332114
Kebonagung (Kebon Agung),35,01,05,3501,350105
Kebonarum,33,10,07,3310,331007
Kebonpedes,32,02,34,3202,320234
Kebonsari (Kebon Sari),35,19,01,3519,351901
Kebumen,33,05,12,3305,330512
Kebun Tebu,18,04,18,1804,180418
Kedamaian,18,71,18,1871,187118
Kedamean,35,25,08,3525,352508
Kedaton,18,71,01,1871,187101
Kedaton Peninjauan Raya,16,01,32,1601,160132
Kedawung,32,09,20,3209,320920
Kedawung,33,14,04,3314,331404
Kedewan,35,22,25,3522,352225
Kediri,51,02,06,5102,510206
Kediri,52,01,02,5201,520102
Kedokan Bunder,32,12,28,3212,321228
Kedondong,18,09,07,1809,180907
Kedopok (Kedopak),35,74,05,3574,357405
Kedu,33,23,07,3323,332307
Kedung,33,20,01,3320,332001
Kedung Waringin,32,16,12,3216,321612
Kedungadem,35,22,08,3522,352208
Kedungbanteng (Kedung Banteng),33,02,23,3302,330223
Kedungbanteng (Kedung Banteng),33,28,08,3328,332808
Kedungdung,35,27,06,3527,352706
Kedunggalar,35,21,11,3521,352111
